VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee
2,2026-01-01 00:52:51,2026-01-01 01:11:03,1.0,3.27,1.0,N,48,236,1,19.8,1.0,0.5,6.39,0.0,1.0,31.94,2.5,0.0,0.75
2,2026-01-01 00:22:33,2026-01-01 00:31:21,1.0,1.64,1.0,N,79,233,1,10.7,1.0,0.5,3.29,0.0,1.0,19.74,2.5,0.0,0.75
2,2026-01-01 00:53:00,2026-01-01 01:13:31,1.0,2.96,1.0,N,79,237,1,20.5,1.0,0.5,3.94,0.0,1.0,30.19,2.5,0.0,0.75
2,2026-01-01 00:11:17,2026-01-01 00:36:57,1.0,3.82,1.0,N,79,25,1,25.4,1.0,0.5,7.79,0.0,1.0,38.94,2.5,0.0,0.75
2,2026-01-01 00:59:51,2026-01-01 01:30:55,1.0,3.78,1.0,N,144,36,1,29.6,1.0,0.5,7.07,0.0,1.0,42.42,2.5,0.0,0.75
2,2026-01-01 00:17:46,2026-01-01 00:30:00,1.0,2.98,1.0,N,170,236,1,14.2,1.0,0.5,4.99,0.0,1.0,24.94,2.5,0.0,0.75
2,2026-01-01 00:43:24,2026-01-01 00:47:36,1.0,0.62,1.0,N,236,236,1,6.5,1.0,0.5,2.5,0.0,1.0,14.0,2.5,0.0,0.0
2,2026-01-01 00:58:07,2026-01-01 01:00:36,1.0,0.66,1.0,N,263,263,1,5.1,1.0,0.5,3.03,0.0,1.0,13.13,2.5,0.0,0.0
2,2026-01-01 00:26:19,2026-01-01 00:39:06,1.0,0.82,1.0,N,162,163,1,12.1,1.0,0.5,3.57,0.0,1.0,21.42,2.5,0.0,0.75
2,2026-01-01 00:45:11,2026-01-01 00:58:37,1.0,0.84,1.0,N,163,161,1,12.8,1.0,0.5,5.0,0.0,1.0,23.55,2.5,0.0,0.75
2,2026-01-01 00:41:31,2026-01-01 00:50:01,1.0,1.28,1.0,N,75,41,2,10.0,1.0,0.5,0.0,0.0,1.0,12.5,0.0,0.0,0.0
2,2026-01-01 00:55:35,2026-01-01 01:04:14,1.0,1.15,1.0,N,166,41,2,8.6,1.0,0.5,0.0,0.0,1.0,11.1,0.0,0.0,0.0
1,2026-01-01 00:06:27,2026-01-01 00:14:12,1.0,1.0,1.0,N,79,170,1,8.6,4.25,0.5,3.6,0.0,1.0,17.95,2.5,0.0,0.75
1,2026-01-01 00:53:37,2026-01-01 01:11:29,4.0,3.6,1.0,N,232,164,2,19.8,4.25,0.5,0.0,0.0,1.0,25.55,2.5,0.0,0.75
2,2026-01-01 00:16:30,2026-01-01 00:21:11,1.0,1.0,1.0,N,239,239,1,7.2,1.0,0.5,2.44,0.0,1.0,14.64,2.5,0.0,0.0
2,2026-01-01 00:25:24,2026-01-01 01:03:47,1.0,10.52,1.0,N,239,97,1,49.9,1.0,0.5,16.47,0.0,1.0,71.37,2.5,0.0,0.0
